int,int,float,int,int,float,int,int,float,bool,float,*,string,구현 우선 순위,,,,,,,
EffectID,ATK,ATKSpeed,ShotProjCount,MaxProj,ProjSize,ProjPiercing,BuffType,BuffValue,IsOneOff,Duration,*,Desc,,,Duration의 float은 초(s)단위.,,,,,
09001,15,0,0,0,0,0,0,0,0,0,*,기본형 공격력 강화,P1,,,,,,,
09002,0,0.1,0,0,0,0,0,0,0,0,*,기본형 공격 주기 강화 (%),P1,,칼럼 설명,,,,,
09003,0,0,1,0,0,0,0,0,0,0,*,기본형 발사체 수 증가,P2,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위,
09004,0,0,0,3,0,0,0,0,0,0,*,기본형 포탑 탄창 증가,P1,,EffectID,PK,,특전 효과 ID,P1,
09005,0,0,0,0,0.1,0,0,0,0,0,*,기본형 발사체 크기 증가 (%),P4,,ATK,-,,공격력 강화 수치,P1,모든 타워가 가능
09006,0,0,0,0,0,1,0,0,0,0,*,기본형 관통력 증가,P4,,ATKSpeed,-,,공격 속도 강화 수치,P1,모든 타워가 가능
09007,0,0,0,0,0,1,1,0.2,0,0,*,기본형 투사체 폭발 범위 증가(%),P4,,ShotProjCount,-,,한번에 발사되는 투사체 개수,P2,산탄
09008,10,0,0,0,0,0,0,0,0,0,*,샷건형 공격력 강화,P1,,MaxProj,-,,포탑이 소환됐을 때 투사체를 발사하는 총 횟수,P1,모든 타워 가능
09009,0,0.1,0,0,0,0,0,0,0,0,*,샷건형 공격 주기 강화 (%),P1,,ProjSize,-,,투사체 크기 수치,P4,범위형
09010,0,0,3,0,0,0,0,0,0,0,*,샷건형 발사체 수 증가 (고유),P2,,BuffType,-,,"회복, 피해, 무적, 폭발 범위 등 특수 효과 유형",P3,
09011,0,0,0,3,0,0,0,0,0,0,*,샷건형 포탑 탄창 증가,P1,,BuffValue,-,,BuffType에 따른 적용 수치,P3,
09012,0,0,0,0,0.1,0,0,0,0,0,*,샷건형 투사체 폭발 범위 증가(%),P4,,IsOneOff,-,,단발성 수치 변화인지 여부,P4,
09013,10,0,0,0,0,0,0,0,0,0,*,탱커형 공격력 강화(%) (고유),P2,,Duration,-,,지속 시간. 즉시 효과는 0으로 둔다.,P4,
09014,0,0.1,0,0,0,0,0,0,0,0,*,탱커형 공격 주기 강화 (%),P1,,Desc,-,,주석,,
09015,0,0,0,1,0,0,0,0,0,0,*,탱커형 포탑 탄창 증가,P1,,,,,,,
09016,0,0,0,0,0,0,0,0,0,0,*,탱커형 발사체 크기 증가 (%),P4,,,,,,,
09017,25,0,0,0,0,0,0,0,0,0,*,원거리형 공격력 강화,P1,,BuffType,,,,,
09018,0,0.1,0,0,0,0,0,0,0,0,*,원거리형 공격 주기 강화 (%),P1,,0,None,,,,
09019,0,0,0,3,0,0,0,0,0,0,*,원거리형 포탑 탄창 증가,P1,,1,BoomArea,,,,
09020,0,0,0,0,0,2,0,0,0,0,*,원거리형 관통력 증가,P3,,2,SpeedUp,,,,
09021,0,0,0,0,0,0,0,0,0,0,*,원거리형 투사체 폭발 범위 증가(%),P4,,3,Heal,,,,
09022,5,0,0,0,0,0,0,0,0,0,*,보조형 공격력 강화,P4,,4,HP,,,,
09023,0,0.1,0,0,0,0,0,0,0,0,*,보조형 공격 주기 강화 (%),P1,,5,Invincible,,,,
09024,0,0,0,2,0,0,0,0,0,0,*,보조형 포탑 탄창 증가,P1,,6,AreaDamage,,,,
09025,0,0,0,0,0,0,3,0.2,0,0,*,보조형 힐량 증가,P3,,,,,,,
09026,20,0,0,0,0,0,0,0,0,0,*,범위형 공격력 강화,P1,,ID 구역별 역할,,,,,
09027,0,0.1,0,0,0,0,0,0,0,0,*,범위형 공격 주기 강화 (%),P1,,90xx,포탑별 수치 조정 관련,,,,
09028,0,0,0,0,0,0,0,0,0,0,*,범위형 발사체 수 증가,P4,,91xx,포탑 외 일회성 혹은 슬롯이나 콤보 시스템에 영향,,,,
09029,0,0,0,1,0,0,0,0,0,0,*,범위형 포탑 탄창 증가,P1,,92xx,속성 부여,,,,
09030,0,0,0,0,0,0,1,0.15,0,0,*,범위형 투사체 폭발 범위 증가(%),P3,,,,,,,
09101,0,0,0,0,0,0,3,0.2,1,0,*,즉시 전체 슬롯 BuffValue% 회복,P3,,,,,,,
09102,0,0,0,0,0,0,4,0.5,1,0,*,슬롯 최대 체력이 현재 최대 체력의 %만큼 증가,P2,,,,,,,
09103,0,0.2,0,0,0,0,2,0,1,10,*,일정 시간동안 공격 주기 가속(%),P4,,,,,,,
09104,0,0,0,0,0,0,5,0,1,5,*,일정 시간동안 슬롯 무적,P4,,,,,,,
09105,0,0,0,0,0,0,6,0.5,0,0,*,콤보 조건 달성시 스킬 추가데미지(%),P3,,,,,,,
,,,,,,,,,,,*,,,,,,,,,
