int,int,string,*,string,,,,,,
ExpTypeID,ExpAmount,BlockSpriteKey,*,Description,,,,,,
00081,50,ExpBlock_Normal,*,일반몹 경험치,,알림,,,,
00082,100,ExpBlock_Elite,*,"엘리트(빠른 애, 탱커)용 경험치",,색상 부분은 헥사값 혹은 스프라이트 이미지 리소스 참조로 교환 필요.,,,,
,,,*,,,,,,,
,,,*,,,칼럼 설명,,,,
,,,*,,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
,,,*,,,ExpTypeID,PK,,몬스터 분류에 따른 경험치 표시를 위한 ID.,P1
,,,*,,,ExpAmount,,,목표 레벨을 달성하기 위해 필요한 경험치. ,P1
,,,*,,,BlockSpriteKey,FK,Resource.ResourceID,해당 스테이지에 나오는 일반 몬스터들의 후보,P2
,,,*,,,Description,,,게임에는 적용하지 않는 확인용 칼럼. 비고란으로 메모를 해두는 용도.,P4
