int,int,int,int,*,string,,칼럼 설명,,,,
LevelID,GoalLevel,RequiredXP,IsMaxLevel,*,Description,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
00011,1,0,0,*,1레벨,,LevelID,PK,,레벨 데이터의 ID값.,P1
00012,2,45,0,*,1레벨에서 2레벨,,GoalLevel,,,"RequiredXP를 누적했을 때, 달성하는 인스테이지 레벨.",P1
00013,3,100,0,*,,,RequiredXP,,,목표 레벨을 달성하기 위해 필요한 경험치. ,P1
00014,4,165,0,*,,,IsMaxLevel,,,"최대 레벨인지 표시. 최대 레벨이 변동될 때, 감소하더라도 기존 자료를 삭제하지 않고, 최대 레벨을 조절 가능.",P2
00015,5,250,0,*,,,Description,,,게임에는 적용하지 않는 확인용 칼럼. 데이터 참조 및 작업 비고 용도.,P4
00016,6,310,0,*,,,,,,,
00017,7,378,0,*,,,,,,,
00018,8,446,0,*,,,,,,,
00019,9,514,0,*,,,,,,,
00020,10,582,0,*,,,,,,,
00021,11,650,0,*,,,,,,,
00022,12,718,0,*,,,,,,,
00023,13,786,0,*,,,,,,,
00024,14,854,0,*,,,,,,,
00025,15,922,0,*,,,,,,,
00026,16,990,0,*,,,,,,,
00027,17,1058,0,*,,,,,,,
00028,18,1126,0,*,,,,,,,
00029,19,1194,0,*,,,,,,,
00030,20,1262,1,*,,,,,,,
