int,string,int,int,int,int,float,float,float,string,*,string,,,,,,
MonsterID,MonsterName,MonsterType,ExpTypeID,MonsterHp,MonsterAtk,MonsterAtkSpeed,MonsterAtkRange,MonsterMoveSpeed,MonsterSprite,*,Desc,,,,,,
04011,MonsterName_Normal_1_Stage1,1,00081,10,3,3.3,0.4,15,monster_01_10,*,노말,,칼럼 설명,,,,
04012,MonsterName_Normal_2_Stage1,1,00081,10,3,3.3,0.4,15,monster_01_05,*,노말,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
04013,MonsterName_Normal_3_Stage1,1,00081,10,3,3.3,0.4,15,monster_01_15,*,노말,,MonsterID,PK,,몬스터의 고유 ID,P1
04021,MonsterName_Normal_1_Stage2,1,00081,13,3,3.1,0.4,15,monster_01_06,*,노말,,MonsterName,FK,Localize.Key,몬스터의 이름. 로컬라이즈 필요,P4
04022,MonsterName_Normal_2_Stage2,1,00081,13,3,3.1,0.4,15,monster_01_11,*,노말,,MonsterType,,,몬스터 타입 구분을 위한 부분. 타입에 따라 일관적용해야하는 로직이 있다면 해당 부분을 참조.,P2
04023,MonsterName_Normal_3_Stage2,1,00081,13,3,3.1,0.4,15,monster_01_16,*,노말,,ExpTypeID,FK,ExpData.ExpTypeID,처치시 드랍하게 될 경험치 블럭 ID. ID에 따라 몬스터가 드랍하는 경험치 블럭이 정해짐.,P1
04031,MonsterName_Normal_1_Stage3,1,00081,17,3,3.1,0.4,15,monster_01_12,*,노말,,MonsterHp,,,몬스터의 체력,P2
04032,MonsterName_Normal_2_Stage3,1,00081,17,3,3.1,0.4,15,monster_01_07,*,노말,,MonsterAtk,,,몬스터의 공격력,P2
04033,MonsterName_Normal_3_Stage3,1,00081,17,3,3.1,0.4,15,monster_01_17,*,노말,,MonsterAtkSpeed,,,몬스터의 공격속도(공격 주기),P2
04041,MonsterName_Normal_1_Stage4,1,00081,22,3,2.9,0.4,15,monster_01_18,*,노말,,MonsterAtkRange,,,몬스터의 공격 사정거리,P2
04042,MonsterName_Normal_2_Stage4,1,00081,22,3,2.9,0.4,15,monster_01_08,*,노말,,MonsterMoveSpeed,,,몬스터의 이동속도,P2
04043,MonsterName_Normal_3_Stage4,1,00081,22,3,2.9,0.4,15,monster_01_13,*,노말,,,,,,
04051,MonsterName_Normal_1_Stage5,1,00081,28,3,2.9,0.4,15,monster_01_14,*,노말,,No.,MonsterType,,,
