int,int,int,int,*,string,,,,,,,,,
MonsterGroupID,MonsterID_1,MonsterID_2,MonsterID_3,*,Desc,등장 Stage,,,,,,,,
11011,04011,04012,04013,*,Normal_Stage1,Stage1,,,주의사항,,,,,
11061,04061,04062,04063,*,Normal_Stage6,Stage6,,,1,동일한 MonsterGroup에 포함되어있는 몬스터들은 모두 등장할 확률이 같다고 가정하기때문에 그룹 내 등장 가중치를 조절하는 칼럼은 사용하지 않는다.,,,,
11111,04111,04112,04113,*,Normal_Stage11,Stage11,,,2,MonsterGroupID는 아래 규칙을 바탕으로 세부적인 정규화가 되어있다.,,,,
11012,04014,0,0,*,Speedy_Stage1,Stage1,,,,11xx-,xx = 등장 스테이지 번호,,,
11062,0,04064,0,*,Speedy_Stage6,Stage6,,,,,01= 1스테이지,,,
11112,0,0,04114,*,Speedy_Stage11,Stage11,,,,11--x,x = 몬스터 그룹의 종류. ,,,
11013,04015,0,0,*,Tanker_Stage1,Stage1,,,,,1= Normal,,,
11063,0,04065,0,*,Tanker_Stage6,Stage6,,,,,2 = Speedy,,,
11113,0,0,04115,*,Tanker_Stage11,Stage11,,,,,3 = Tanker,,,
11021,04021,04022,04023,*,Normal_Stage2,Stage2,,,,,,,,
11071,04071,04072,04073,*,Normal_Stage7,Stage7,,,,칼럼 설명,,,,
11121,04121,04122,04123,*,Normal_Stage12,Stage12,,,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
11022,04024,0,0,*,Speedy_Stage2,Stage2,,,,MonsterGroupID,PK,,몬스터 후보군의 고유ID. 어떤 몬스터 종류가 나오게 할 지 결정.,P1
11072,0,04074,0,*,Speedy_Stage7,Stage7,,,,MonsterID_1,,MonsterData.MonsterID,웨이브의 타입. 추가 보상 여부나 연출 등을 결정.,P1
11122,0,0,04124,*,Speedy_Stage12,Stage12,,,,MonsterID_2,,MonsterData.MonsterID,웨이브의 타입. 추가 보상 여부나 연출 등을 결정.,P2
11023,04025,0,0,*,Tanker_Stage2,Stage2,,,,MonsterID_3,,MonsterData.MonsterID,웨이브의 타입. 추가 보상 여부나 연출 등을 결정.,P3
11073,0,04075,0,*,Tanker_Stage7,Stage7,,,,Desc,,,시트에서 데이터 부연설명을 위한 칼럼으로 인게임에서 사용되지 않음.,P4
11123,0,0,04125,*,Tanker_Stage12,Stage12,,,,,,,,
11031,04031,04032,04033,*,Normal_Stage3,Stage3,,,,,,,,
11081,04081,04082,04083,*,Normal_Stage8,Stage8,,,,최선동_ 6/10에 진행된 몬스터 스폰 리뷰 추가 내용 공유_,,,,
11131,04131,04132,04133,*,Normal_Stage13,Stage13,,,,1. MonsterGroupData -> 스폰 할 몬스터 종류를 세팅할 수 있는 테이블,,,,
11032,04034,0,0,*,Speedy_Stage3,Stage3,,,,2. 해당 테이블 안의 몬스터 종류를 WavePaternData 탭에서 몬스터 수를 설정하여 랜덤으로 스폰시킴,,,,
11082,0,04084,0,*,Speedy_Stage8,Stage8,,,,,,,,
11132,0,0,04134,*,Speedy_Stage13,Stage13,,,,,,,,
11033,04035,0,0,*,Tanker_Stage3,Stage3,,,,,,,,
11083,0,04085,0,*,Tanker_Stage8,Stage8,,,,,,,,
11133,0,0,04135,*,Tanker_Stage13,Stage13,,,,,,,,
11041,04041,04042,04043,*,Normal_Stage4,Stage4,,,,,,,,
11091,04091,04092,04093,*,Normal_Stage9,Stage9,,,,,,,,
11141,04141,04142,04143,*,Normal_Stage14,Stage14,,,,,,,,
11042,04044,0,0,*,Speedy_Stage4,Stage4,,,,,,,,
11092,0,04094,0,*,Speedy_Stage9,Stage9,,,,,,,,
11142,0,0,04144,*,Speedy_Stage14,Stage14,,,,,,,,
11043,04045,0,0,*,Tanker_Stage4,Stage4,,,,,,,,
11093,0,04095,0,*,Tanker_Stage9,Stage9,,,,,,,,
11143,0,0,04145,*,Tanker_Stage14,Stage14,,,,,,,,
11051,04051,04052,04053,*,Normal_Stage5,Stage5,,,,,,,,
11101,04101,04102,04103,*,Normal_Stage10,Stage10,,,,,,,,
11151,04151,04152,04153,*,Normal_Stage15,Stage15,,,,,,,,
11052,04054,0,0,*,Speedy_Stage5,Stage5,,,,,,,,
11102,0,04104,0,*,Speedy_Stage10,Stage10,,,,,,,,
11152,0,0,04154,*,Speedy_Stage15,Stage15,,,,,,,,
11053,04055,0,0,*,Tanker_Stage5,Stage5,,,,,,,,
11103,0,04105,0,*,Tanker_Stage10,Stage10,,,,,,,,
11153,0,0,04155,*,Tanker_Stage15,Stage15,,,,,,,,
