int,int,string,string,int,int,int,string,bool,string,string,*,string,,,,,,,
PerkID,EffectID,PerkName,PerkDesc,MaxLevel,PerkRarityType,PerkTarget,PerkTargetText,IsActive,IconResourceKey,PieceTypeIcon,*,Desc,,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
10001,09001,PerkName_ATKUP_Basic,PerkDesc_ATKUP_Basic,3,00091,1,TowerTypeText_Basic,1,Image_iconSkill_Icon_5,Image_Icon_Type_0,*,기본형 공격력 강화,,,PerkID,PK,,특전 ID,P1
10002,09002,PerkName_ATKSpeedUP_Basic,PerkDesc_ATKSpeedUP_Basic,3,00091,1,TowerTypeText_Basic,1,Image_iconSkill_Icon_1,Image_Icon_Type_0,*,기본형 공격 주기 강화 (%),,,EffectID,FK,EffectData.EffectID,특전 효과 ID,P1
10003,09003,PerkName_ShotProjCountUP_Basic,PerkDesc_ShotProjCountUP_Basic,2,00091,1,TowerTypeText_Basic,0,0,Image_Icon_Type_0,*,기본형 발사체 수 증가,,,PerkName,FK,Localize.Key,특전 이름.로컬라이즈 필요,P3
10004,09004,PerkName_MaxProj_Basic,PerkDesc_MaxProj_Basic,3,00091,1,TowerTypeText_Basic,1,Image_iconSkill_Icon_8,Image_Icon_Type_0,*,기본형 포탑 탄창 증가,,,PerkDesc,FK,Localize.Key,특전 설명.로컬라이즈 필요,P3
10005,09005,PerkName_ProjSize_Basic,PerkDesc_ProjSize_Basic,3,00091,1,TowerTypeText_Basic,0,0,Image_Icon_Type_0,*,기본형 발사체 크기 증가 (%),,,MaxLevel,,,특전의 최대 레벨,P2
10006,09006,PerkName_ProjPiercing_Basic,PerkDesc_ProjPiercing_Basic,3,00091,1,TowerTypeText_Basic,0,0,Image_Icon_Type_0,*,기본형 관통력 증가,,,PerkRarityType,FK,RarityData.PerkRarityID,특전 희귀도 타입 (등장 확률),P1
10007,09007,PerkName_BoomArea_Basic,PerkDesc_BoomArea_Basic,3,00091,1,TowerTypeText_Basic,0,0,Image_Icon_Type_0,*,기본형 투사체 폭발 범위 증가(%),,,PerkTarget,,,특전 적용 대상 포탑 구분. 적용 대상 아이콘을 판별할 때 사용.,P1
10008,09008,PerkName_ATKUP_Shotgun,PerkDesc_ATKUP_Shotgun,3,00091,2,TowerTypeText_Shotgun,1,Image_iconSkill_Icon_5,Image_Icon_Type_1,*,샷건형 공격력 강화,,,IsActive,,,특전 사용 여부,P1
10009,09009,PerkName_ATKSpeedUP_Shotgun,PerkDesc_ATKSpeedUP_Shotgun,3,00091,2,TowerTypeText_Shotgun,1,Image_iconSkill_Icon_1,Image_Icon_Type_1,*,샷건형 공격 주기 강화 (%),,,IconResourceKey,FK,,특전의 스킬 아이콘,P2
10010,09010,PerkName_ShotProjCountUP_Shotgun,PerkDesc_ShotProjCountUP_Shotgun,3,00093,2,TowerTypeText_Shotgun,1,Image_iconSkill_Icon_7,Image_Icon_Type_1,*,샷건형 발사체 수 증가 (고유),,,PieceTypeIcon,FK,,특전이 적용되는 포탑종류 아이콘,P3
