int,int,int,int,float,int,int,int,int,float,int,float,int,float,string,string,*,,,string,,,,,,
TowerID,TowerType,TowerAiType,TowerAtk,TowerAtkSpeed,TowerMaxRange,TowerMaxAmmo,TowerProjectile,ProjectileCount,ProjectileSize,PiercingCount,SplashRadius,CurrentHp,BulletSpeed,TowerTypeText,TowerName,*,성급,포탑 유형,Desc,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
07101,1,1,20,0.35,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,1성 , 기본형,,,TowerID,PK,PieceData.ConnectTower,포탑 아이디,P1
07102,1,1,22,0.35,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,1성 , 기본형,,,TowerType,,,포탑 타입 (사격 우선순위),P1
07103,1,1,24,0.35,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,1성 , 기본형,,,TowerAiType,,,포탑 AI 타입 (공격 방식),P1
07104,1,1,26,0.35,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,1성 , 기본형,,,TowerAtk,,,포탑 기본 공격력(고정 피해),P1
07105,1,1,28,0.35,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,1성 , 기본형,,,TowerAtkSpeed,,,포탑 공격 속도,P1
07106,1,1,44,0.3,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,2성 , 기본형,,,TowerMaxRange,,,포탑 사거리,P1
07107,1,1,49,0.3,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,2성 , 기본형,,,TowerMaxAmmo,,,포탑 최대 탄창,P1
07108,1,1,54,0.3,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,2성 , 기본형,,,TowerProjectile,FK,ProjectileData.ProjectileID,포탑 투사체 ID,P1
07109,1,1,59,0.3,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,2성 , 기본형,,,ProjectileCount,,,포탑 투사체 개수,P1
07110,1,1,64,0.3,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,2성 , 기본형,,,ProjectileSize,,,포탑 투사체 크기,P2
07111,1,1,97,0.25,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,3성 , 기본형,,,PiercingCount,,,포탑 투사체 관통 횟수,P3
07112,1,1,117,0.25,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,3성 , 기본형,,,SplashRadius,,,포탑 투사체 폭발 범위 (광역피해만),P3
07113,1,1,127,0.25,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,3성 , 기본형,,,Current_Hp,,,현재 체력 퍼뎀,P3
07114,1,1,137,0.25,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,3성 , 기본형,,,BulletSpeed,,,총알 이동 속도. 지정된 위치에 도달하는 시간 (초),P1
07115,1,1,147,0.25,2.500,15,06001,1,0.05,0,0.000,0,0.8,TowerTypeText_Basic,PieceName_Basic,*,3성 , 기본형,,,TowerName,FK,LocalizeData.Key,포탑 이름.로컬라이즈 필요,P3
07201,2,3,4,0.6,2.000,13,06001,5,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,1성 , 샷건,,,TowerTypeText,FK,LocalizeData.Key,타워 타입 이름,P2
07202,2,3,4,0.6,2.000,13,06001,5,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,1성 , 샷건,,,Desc,,,주석,
07203,2,3,5,0.6,2.000,13,06001,5,0.05,0,0.000,0,0.9,TowerTypeText_Shotgun,PieceName_Shotgun,*,1성 , 샷건,,,,,,,
