int,int,int,int,int,int,int,int,int,int,*,string,,,,,,
WaveID,WavePattern_1,WavePattern_2,WavePattern_3,WavePattern_4,WavePattern_5,WavePattern_6,WavePattern_7,WavePattern_8,WavePattern_9,*,Desc,,,,,,
02001,3001,3001,3001,3101,3002,3002,3003,3102,3003,*,,,,,,,
02002,3004,3004,3004,3101,3005,3005,3006,3102,3006,*,,,알림,,,,
02003,3007,3007,3007,3101,3008,3008,3009,3102,3009,*,,,"회색 부분은 ""Rush"" 웨이브 구간으로 더 많은 몬스터가 나와 유저를 압박하는 구간. ",,,,
02004,3010,3010,3010,3101,3011,3011,3012,3102,3012,*,,,,,,,
02005,3013,3013,3013,3101,3014,3014,3015,3102,3015,*,,,칼럼 설명,,,,
,,,,,,,,,,*,,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
,,,,,,,,,,*,,,WaveID,PK,,웨이브의 고유 ID. 스테이지를 구성하는 단계.,P1
,,,,,,,,,,*,,,WavePattern_n,FK,WavePatternData.WavePatternID,"한 스테이지의 웨이브마다 구성하는 몬스터 스폰 단위. 
5초마다 웨이브에 해당하는 waveSpawnData를 순차적으로 스폰하며 총 7번 반복 스폰한다.",P1
,,,,,,,,,,*,,,Desc,,,시트에서 데이터 부연설명을 위한 칼럼으로 인게임에서 사용되지 않음.,P4
,,,,,,,,,,*,,,,,,,
,,,,,,,,,,*,,,,,,,
