int,int,int,int,int,int,int,int,*,string,string,,칼럼 설명,,,,
WavePatternID,Normal_Count,Speedy_Count,Tanker_Count,NormalRate_1,NormalRate_2,NormalRate_3,isRush,*,몬스터 총합,Desc,,필드 이름,PK/FK,연결 테이블. 칼럼,설명,우선순위
03001,15,0,0,100,0,0,0,*,15,1웨이브,,WavePatternID,PK,,웨이브 몬스터 구성 수에 대한 고유ID.,P1
03002,20,0,0,100,0,0,0,*,20,2웨이브,,WaveType,,,웨이브의 타입. 추가 보상 여부나 연출 등을 결정.,P1
03003,25,0,0,70,30,0,0,*,25,3웨이브,,Normal_Count,,,웨이브를 구성하는 일반 몬스터가 5초안에 스폰되는 수.,P1
03004,50,0,0,30,70,0,1,*,50,4웨이브(러쉬),,Speedy_Count,,,웨이브를 구성하는 속도 강화 몬스터가 5초안에 스폰되는 수.,P2
03005,20,10,0,0,100,0,0,*,30,5웨이브,,Tanker_Count,,,웨이브를 구성하는 체력 강화 몬스터가 5초안에 스폰되는 수.,P2
03006,25,10,0,0,70,30,0,*,35,6웨이브,,NormalRate_n,,,웨이브를 구성하는 노말 몬스터 n번째 종류의 스폰 시 비율,P2
03007,25,10,5,0,30,70,0,*,40,7웨이브,,isRush,,,해당 웨이브가 러시인지 아닌지 여부 표시,P2
03008,50,20,10,0,0,100,1,*,80,8웨이브(러쉬),,Desc,,,시트에서 데이터 부연설명을 위한 칼럼으로 인게임에서 사용되지 않음.,P4
03009,25,10,10,0,0,100,0,*,45,9웨이브,,,,,,
*,,,,,,,,*,,5초마다 나오는 수 기준.,,,,,,
,,,,,,,,*,,,,,,,,
,,,,,,,,*,,,,,,,,
,,,,,,,,*,,,,,,,,
,,,,,,,,*,,,,,,,,
,,,,,,,,*,,,,,,,,
,,,,,,,,*,,,,,,,,
